"cc_mask_last_4","מספר כרטיס אשראי"
"cc_owner_id","תעודת זהות של בעל הכרטיס"
"cc_owner_name","שם בעל הכרטיס"
"cc_type","סוג הכרטיס"
"cc_exp_date","תוקף הכרטיס"
"last_trans_id","מספר עסקה"
"Parameter is incorrect.","Parameter is incorrect."
"We can't start Cardcom payment process.","לא ניתן לבצע את העסקה."
"Sorry, but something went wrong","מצטערים, ארעה תקלה"
"'Shipping: ' .","'משלוח: ' ."
Tax,מס
"Adjustment Refund","התאמת זיכוי"
"Adjustment Fee","עמלת זיכוי"
English,אנגלית
Hebrew,עברית
"Billing (Charge Only)","חיוב בלבד"
"Billing + Create a Token","חיוב + יצירת טוקן"
"You will be redirected to a secured payment page when you place your order.","אתה תועבר לדף מאובטח להזנת פרטי האשראי לאחר לחיצה על כפתור 'המשך לתשלום מאובטח'"
"Save new Credit Card for the future payments.","Save new Credit Card for the future payments."
"Continue to Secure Payment","המשך לתשלום מאובטח"
"Place Order","Place Order"
CardCom,קארדקום
Enabled,פעיל
Title,כותרת
Operation,פעולה
"API Username","API Username"
"Cardcom API username","Cardcom API username"
"API Password","API Password"
"Cardcom API password. (It is used in operations with Token.)","Cardcom API password. (It is used in operations with Token.)"
"Terminal Number<br><small>(for regular charging with credit card)</small>","Terminal Number<br><small>(for regular charging with credit card)</small>"
"Terminal number as defined for the merchant at Cardcom Gateway within the integration process.","Terminal number as defined for the merchant at Cardcom Gateway within the integration process."
"Terminal Number<br><small>(for token [recharging, refunding, etc.])</small>","Terminal Number<br><small>(for token [recharging, refunding, etc.])</small>"
"Enable Automatic Invoice Creation","Enable Automatic Invoice Creation"
"A flag to disable/enable automatic invoice creation (on CC Paygate side).","A flag to disable/enable automatic invoice creation (on CC Paygate side)."
"Invoice GUI's language.","Invoice GUI's language."
Debug,Debug
"Write debug data into log file. /var/log/cardcom.log","Write debug data into log file. /var/log/cardcom.log"
"Sort Order","מיקום"
